Episode,Total_reward
537,-99.2553464747
538,-66.6293738126
539,-79.0141195299
540,-78.501933802
541,-81.0604104523
542,-77.8606764798
543,-82.4031483632
544,-77.5452439294
545,-69.4292347582
546,-67.5810835065
547,-78.6407837397
548,-74.5702343483
549,-91.0228205798
550,-69.4001673917
551,-86.8364303278
552,-71.3731875636
553,-99.0107429718
554,-77.668453622
555,-68.8162374269
556,-84.1104038411
557,-78.9512605807
558,-91.4328816471
559,-79.5344048481
560,-83.5031681478
561,-80.4518819979
562,-76.213975164
563,-76.2785864859
564,-96.2214102007
565,-79.9384980363
566,-79.6930509977
567,-94.5653053767
568,-81.5773208148
569,-70.9329848526
570,-80.2260925521
571,-92.5680417232
572,-92.2468676082
573,-74.9361288084
574,-77.4801962188
575,-76.2878626791
576,-68.4312365841
577,-73.4677361308
578,-68.4385193164
579,-74.5944430689
580,-86.3111288021
581,-70.2557825392
582,-78.9094190072
583,-74.9611909524
584,-86.7178636121
585,-78.2146302287
586,-81.7368996615
587,-95.6582928145
588,-91.2768901474
589,-96.1511904295
590,-93.4800219843
591,-93.6325149254
592,-72.8503627167
593,-82.9620945812
594,-84.6350644761
595,-76.1988780702
596,-93.2759333659
597,-75.9239701973
598,-82.215005694
599,-69.1963929409
600,-93.5980864976
601,-85.4868135191
602,-97.9748625703
603,-69.2257553162
604,-85.5173190083
605,-80.1782413256
606,-76.3184079995
607,-83.1841922966
608,-92.3380487418
609,-68.8924956682
610,-79.9005278589
611,-71.2752376431
612,-76.2606286484
613,-78.6589789267
614,-71.9085980674
615,-81.8544314798
616,-71.2422161125
617,-82.1758141798
618,-121.13247075
619,-71.1683627054
620,-98.7794008047
621,-84.5610571922
622,-88.5465934182
623,-17.8515716262
624,-1022.84496165
625,-22.75317766
626,-42.1603121598
627,-44.6440828152
628,-84.0898464237
629,-34.1004374004
630,-40.2028333378
631,-35.0872743646
632,-19.8361454288
633,-24.3655774901
634,-45.7666044012
635,-26.0770954342
636,-75.9973948741
637,-9.18512999138
638,-66.9474469217
639,-17.4151568507
640,-25.2185798593
641,-24.6848545381
642,-18.2596238357
643,-23.3541568058
644,-24.3179878466
645,-28.5082910338
646,-16.8511022929
647,-24.8713262186
648,-26.3513605239
649,-24.1869734142
650,-22.2346556429
651,-22.9446047011
652,-24.3267503315
653,-27.7170530958
654,-22.5442988817
655,-25.2890118492
656,-24.8868751233
657,-22.8111657805
658,-23.1884944416
659,-23.9720792447
660,-25.2174058983
661,-22.2709134209
662,-23.7732653591
663,-22.4634553132
664,-22.2900538152
665,-24.2730551353
666,-24.1518738448
667,-24.4436819373
668,-22.0762086217
669,-25.1816966658
670,-22.4168844965
671,-21.6808268103
672,-21.7099698938
673,-22.4379337772
674,-22.7047773503
675,-22.481281418
676,-23.0066067491
677,-22.4812783498
678,-23.1185292473
679,-22.4698630356
680,-21.9935186854
681,-23.2818566445
682,-22.1317681452
683,-21.5453428869
684,-22.5016881879
685,-21.9876679203
686,-21.8661810333
687,-21.9597750696
688,-21.5876121821
689,-21.7682390412
690,-22.4723619863
691,-21.4805682203
692,-22.7549546726
693,-23.2945820882
694,-22.6699377292
695,-22.8594475278
696,-22.7376852498
697,-21.8582334185
698,-21.8150488605
699,-22.0066807518
700,-22.2916637502
